Site,State/Territory,Counties Served,Population Served,Source,05/30/2026,05/23/2026,05/16/2026,05/09/2026,05/02/2026,04/25/2026,Date Updated,PathogenTarget
ID:140,California,Sacramento,1480000,WastewaterSCAN,+,+,-,-,-,+,"June 04, 2026 3:40 AM",Measles virus
ID:175,California,Santa Clara,236000,WastewaterSCAN,+,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:125,California,Merced,91000,WastewaterSCAN,+,+,+,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2689,Alaska,Bethel,6500,State_Territory,No Data,-,-,-,No Data,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:253,Colorado,Routt,43741,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:415,Illinois,Cook,3816,State_Territory,No Data,No Data,-,No Data,No Data,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:655,Louisiana,Orleans,50591,"CDC_Verily, WastewaterSCAN",No Data,No Data,No Data,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:741,Massachusetts,Middlesex,228285,CDC_Verily,No Data,No Data,No Data,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1067,Missouri,"Greene, Christian",151966,State_Territory,No Data,-,No Data,No Data,No Data,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1478,North Carolina,Mecklenburg,182501,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1481,North Carolina,Mecklenburg,82158,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1475,North Carolina,Mcdowell,8459,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1487,North Carolina,"Durham, Orange",108105,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1499,North Carolina,Wake,84189,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1461,North Carolina,Durham,142000,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1489,North Carolina,Pitt,89616,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1453,North Carolina,Carteret,3500,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1501,North Carolina,Wake,550000,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1503,North Carolina,Wake,7776,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1476,North Carolina,Mecklenburg,68685,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1479,North Carolina,Mecklenburg,120000,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1462,North Carolina,Forsyth,178000,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1502,North Carolina,Wake,30655,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1752,Oregon,Washington,220000,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2520,Oregon,Columbia,13739,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1748,Oregon,Umatilla,17500,State_Territory,No Data,-,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1753,Oregon,Washington,40000,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1754,Oregon,Washington,9900,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1728,Oregon,Hood River,7800,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1720,Oregon,Clatsop,11326,State_Territory,No Data,No Data,-,No Data,No Data,-,"June 04, 2026 3:40 AM",Measles virus
ID:1755,Oregon,Washington,40000,State_Territory,No Data,-,+,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2570,Pennsylvania,Washington,45000,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1778,Pennsylvania,Erie,200000,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1762,Pennsylvania,Allegheny,48000,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1824,South Carolina,Lexington,40000,State_Territory,No Data,No Data,No Data,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2611,South Carolina,Spartanburg,93014,State_Territory,No Data,No Data,No Data,No Data,No Data,+,"June 04, 2026 3:40 AM",Measles virus
ID:2610,South Carolina,Spartanburg,6667,State_Territory,No Data,No Data,No Data,No Data,No Data,-,"June 04, 2026 3:40 AM",Measles virus
ID:2630,South Carolina,Spartanburg,3200,State_Territory,No Data,-,-,-,-,+,"June 04, 2026 3:40 AM",Measles virus
ID:1818,South Carolina,Greenville,143531,State_Territory,No Data,No Data,No Data,No Data,No Data,-,"June 04, 2026 3:40 AM",Measles virus
ID:2660,South Carolina,Spartanburg,4500,State_Territory,No Data,-,No Data,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1892,Texas,Harris,109414,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2464,Texas,Gaines,7500,State_Territory,No Data,No Data,No Data,No Data,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1875,Texas,Harris,16030,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1873,Texas,Harris,37359,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2696,Texas,Presidio,5000,State_Territory,No Data,-,No Data,No Data,No Data,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1878,Texas,Harris,9375,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1876,Texas,Harris,4170,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1884,Texas,Harris,4010,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2609,Texas,Travis,238461,State_Territory,No Data,-,No Data,No Data,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1904,Texas,Harris,20758,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1882,Texas,"Montgomery, Harris",52055,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1885,Texas,Harris,12892,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1865,Texas,"Fort Bend, Harris",28742,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1879,Texas,Harris,16804,State_Territory,No Data,No Data,No Data,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1888,Texas,Harris,95600,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1891,Texas,Harris,109414,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1896,Texas,Harris,59188,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1901,Texas,Harris,85129,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1877,Texas,Harris,40689,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1886,Texas,Harris,33102,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1874,Texas,Harris,3825,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1903,Texas,Harris,3623,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1899,Texas,Harris,33645,State_Territory,No Data,No Data,-,-,No Data,-,"June 04, 2026 3:40 AM",Measles virus
ID:2277,Texas,Hidalgo,70000,State_Territory,No Data,-,No Data,No Data,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1890,Texas,Harris,20608,State_Territory,No Data,No Data,No Data,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2298,Texas,Victoria,65800,State_Territory,No Data,-,No Data,No Data,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1880,Texas,Harris,22275,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1893,Texas,Harris,32485,State_Territory,No Data,No Data,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1889,Texas,Harris,5497,State_Territory,No Data,No Data,-,No Data,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1883,Texas,Harris,20161,State_Territory,No Data,No Data,No Data,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1953,Utah,Utah,12510,State_Territory,No Data,+,+,+,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1940,Utah,Salt Lake,254971,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1948,Utah,Uintah,29513,State_Territory,No Data,+,+,+,+,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1937,Utah,Salt Lake,89507,State_Territory,No Data,-,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1954,Utah,Utah,35840,State_Territory,No Data,+,+,+,+,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1927,Utah,Carbon,17312,State_Territory,No Data,-,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1946,Utah,Tooele,36244,State_Territory,No Data,-,+,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1923,Utah,Box Elder,21443,State_Territory,No Data,-,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1938,Utah,"Utah, Salt Lake",94484,State_Territory,No Data,-,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1939,Utah,Salt Lake,209645,State_Territory,No Data,-,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1951,Utah,Utah,21231,State_Territory,No Data,-,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1956,Utah,Wasatch,19936,State_Territory,No Data,+,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1944,Utah,Summit,24738,State_Territory,No Data,-,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1928,Utah,Davis,64533,State_Territory,No Data,-,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1949,Utah,Utah,112901,State_Territory,No Data,-,-,+,+,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1959,Utah,Washington,24970,State_Territory,No Data,-,+,+,+,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1930,Utah,Davis,84981,State_Territory,No Data,-,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1960,Utah,Washington,92047,State_Territory,No Data,-,-,-,No Data,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1955,Utah,Utah,253112,State_Territory,No Data,-,+,+,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1952,Utah,Utah,53313,State_Territory,No Data,+,+,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1957,Utah,Wasatch,5806,State_Territory,No Data,-,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1932,Utah,Duchesne,6790,State_Territory,No Data,-,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1926,Utah,Cache,94005,State_Territory,No Data,-,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1924,Utah,Box Elder,12451,State_Territory,No Data,+,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1929,Utah,"Weber, Davis",228700,State_Territory,No Data,-,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1934,Utah,Iron,32451,State_Territory,No Data,+,+,+,No Data,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1933,Utah,"San Juan, Grand",9896,State_Territory,No Data,+,+,-,+,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1925,Utah,Cache,9095,State_Territory,No Data,-,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1945,Utah,Summit,7096,State_Territory,No Data,-,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1931,Utah,Davis,21872,State_Territory,No Data,-,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1961,Utah,"Weber, Davis",208850,State_Territory,No Data,-,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:2027,Virginia,"Bedford City, Botetourt, Roanoke, Bland, Salem, Roanoke City, Bedford",300000,State_Territory,No Data,-,-,No Data,No Data,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:1987,Virginia,"Frederick, Winchester City",60000,CDC_Verily,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:1995,Virginia,Loudoun,300000,State_Territory,No Data,-,-,No Data,No Data,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:2028,Virginia,"Portsmouth City, Isle Of Wight, Chesapeake City, Suffolk City",197608,State_Territory,No Data,-,-,No Data,No Data,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:2170,Wisconsin,"Dodge, Washington",16000,State_Territory,No Data,-,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:2181,Wyoming,Laramie,74600,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2182,Wyoming,Sheridan,19000,"CDC_Verily, State_Territory",No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2183,Wyoming,Sweetwater,12000,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2180,Wyoming,Carbon,8298,State_Territory,No Data,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:9,Alabama,Lee,70000,CDC_Verily,-,-,-,-,-,No Data,"June 04, 2026 3:40 AM",Measles virus
ID:4,Alabama,Jefferson,30000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:8,Alabama,Jefferson,95000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:6,Alabama,Jefferson,225000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:5,Alabama,Jefferson,77000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:7,Alabama,Jefferson,200000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2340,Alaska,Fairbanks North Star,92000,"CDC_Verily, State_Territory",-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:16,Alaska,Juneau,22000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:15,Alaska,Juneau,12000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:13,Alaska,Anchorage,220000,"State_Territory, WastewaterSCAN",-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:14,Alaska,Anchorage,23000,"CDC_Verily, State_Territory",-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:71,Arkansas,Greene,25000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:68,Arkansas,Benton,19000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:69,Arkansas,Boone,14000,"CDC_Verily, WastewaterSCAN",-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:81,Arkansas,Pulaski,23812,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:80,Arkansas,Pulaski,30377,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:83,Arkansas,Pulaski,18463,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:70,Arkansas,Garland,38000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:162,California,San Luis Obispo,14465,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:93,California,Alameda,60000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:184,California,Sonoma,237800,"CDC_Verily, WastewaterSCAN",-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:138,California,Riverside,350000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:130,California,Napa,83300,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:176,California,Santa Clara,1500000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:143,California,San Bernardino,890000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2365,California,Solano,155000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:194,California,Yolo,59000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:114,California,Los Angeles,3500000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:164,California,San Luis Obispo,31037,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2453,California,Madera,60000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:161,California,San Luis Obispo,15000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:112,California,Los Angeles,200000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2347,California,Santa Barbara,97000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:118,California,Marin,104250,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:178,California,Santa Cruz,94000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2199,California,Nevada,13754,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:99,California,Contra Costa,102000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:166,California,San Luis Obispo,39000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:145,California,San Diego,2200000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:186,California,Sonoma,28000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:160,California,San Luis Obispo,6031,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:169,California,San Mateo,27000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:120,California,Marin,30000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:171,California,Santa Barbara,69290,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:126,California,Mono,8200,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:190,California,Ventura,250000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2571,California,Alameda,342000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:92,California,Alameda,229476,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:128,California,Monterey,16000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:101,California,El Dorado,30000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:121,California,Marin,53000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:180,California,"Santa Cruz, Monterey",60000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:147,California,"San Francisco, San Mateo",250000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:187,California,Stanislaus,230000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:170,California,San Mateo,199000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2346,California,El Dorado,125000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2601,California,Alameda,95000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2573,California,Alameda,160000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2572,California,Alameda,150000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:141,California,San Benito,43000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:168,California,San Mateo,150000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:155,California,San Joaquin,68000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:177,California,Santa Cruz,164000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:115,California,"Ventura, Los Angeles",75000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:113,California,"Ventura, Los Angeles",4000000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:188,California,Stanislaus,86000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:139,California,Riverside,91765,"CDC_Verily, WastewaterSCAN",-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:148,California,"San Francisco, San Mateo",750000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:97,California,Contra Costa,495000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:183,California,Solano,121000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:173,California,Santa Clara,153000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:2348,California,Placer,127000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:157,California,San Joaquin,29000,CDC_Verily,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:174,California,Santa Clara,110338,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:127,California,Monterey,262000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:193,California,Yolo,68000,WastewaterSCAN,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:179,California,Santa Cruz,70000,"CDC_Verily, WastewaterSCAN",-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:252,Colorado,Pueblo,96514,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:264,Colorado,Weld,83319,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:224,Colorado,El Paso,303855,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:242,Colorado,Mesa,89286,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:198,Colorado,Jefferson,345453,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:223,Colorado,El Paso,102204,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
ID:213,Colorado,Douglas,60571,State_Territory,-,-,-,-,-,-,"June 04, 2026 3:40 AM",Measles virus
